factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS056_CFO_ACCRUALS_PT,monthly,2018,0.05215932322221582,0.03463342883662849,12
XS056_CFO_ACCRUALS_PT,monthly,2019,0.007749481987518051,-0.017069755349718687,12
XS056_CFO_ACCRUALS_PT,monthly,2020,0.03601851677023725,0.020457910844385984,12
XS056_CFO_ACCRUALS_PT,monthly,2021,-0.038587016867341936,-0.019712442969180736,12
XS056_CFO_ACCRUALS_PT,monthly,2022,0.003348216410148595,-0.0022233764677057136,12
XS056_CFO_ACCRUALS_PT,monthly,2023,0.019791387194434115,0.004879069523193286,12
XS056_CFO_ACCRUALS_PT,monthly,2024,-0.042798397312404333,-0.02874423913690263,12
XS056_CFO_ACCRUALS_PT,monthly,2025,-0.026346744821999585,-0.026205773105218325,12
XS056_CFO_ACCRUALS_PT,monthly,2026,0.043258094205011796,0.04320446170260985,4
XS056_CFO_ACCRUALS_PT,weekly,2017,0.1600486511103069,0.1600486511103069,1
XS056_CFO_ACCRUALS_PT,weekly,2018,0.0414551174895286,0.014184853565349497,52
XS056_CFO_ACCRUALS_PT,weekly,2019,-0.003351357996246465,0.0005612078963398653,52
XS056_CFO_ACCRUALS_PT,weekly,2020,0.0063426704698880286,0.005849992231801656,53
XS056_CFO_ACCRUALS_PT,weekly,2021,-0.01244652005945263,-0.006557255801793746,52
XS056_CFO_ACCRUALS_PT,weekly,2022,0.0069426218427274585,0.009261748386938278,52
XS056_CFO_ACCRUALS_PT,weekly,2023,-0.005909466332525152,-0.003415686384676479,52
XS056_CFO_ACCRUALS_PT,weekly,2024,-0.01828876698235495,-0.009667375748792652,52
XS056_CFO_ACCRUALS_PT,weekly,2025,-0.01652126845040125,-0.011256569060564752,52
XS056_CFO_ACCRUALS_PT,weekly,2026,-0.0021658321297864714,-0.0035494158690651343,25
